adverts,sales,airplay,attract,residuals,standized.residuals,studentized.rediduals,cooks.distance,dffit,leverage,covariance.ratios
10.256,330,43,10,100.08,2.177,2.199,0.059,0.489,0.047,0.971
985.685,120,28,7,-108.949,-2.323,-2.35,0.011,-0.211,0.008,0.92
1445.563,360,35,7,68.442,1.469,1.473,0.011,0.214,0.021,0.997
1188.193,270,33,7,7.024,0.15,0.15,0,0.017,0.013,1.033
574.513,220,44,5,-5.753,-0.124,-0.123,0,-0.02,0.026,1.048
568.954,170,19,5,28.905,0.618,0.617,0.001,0.074,0.014,1.027
471.814,70,20,1,-21.872,-0.487,-0.486,0.006,-0.154,0.091,1.117
537.352,210,22,9,17.14,0.368,0.367,0.001,0.054,0.021,1.04
514.068,200,21,7,34.656,0.739,0.738,0.001,0.062,0.007,1.016
174.093,300,40,7,99.534,2.13,2.15,0.018,0.269,0.015,0.944
1720.806,290,32,7,-14.819,-0.32,-0.319,0.001,-0.057,0.031,1.051
611.479,70,20,2,-44.814,-0.984,-0.984,0.017,-0.257,0.064,1.069
251.192,150,24,8,-14.218,-0.304,-0.303,0,-0.035,0.013,1.032
97.972,190,38,6,13.816,0.296,0.295,0,0.039,0.018,1.037
406.814,240,24,7,73.658,1.569,1.575,0.004,0.128,0.007,0.977
265.398,100,25,5,-35.533,-0.76,-0.76,0.002,-0.094,0.015,1.024
1323.287,250,35,5,-9.006,-0.194,-0.194,0,-0.033,0.028,1.049
196.65,210,36,8,10.002,0.214,0.214,0,0.027,0.015,1.036
1326.598,280,27,8,14.394,0.309,0.308,0,0.043,0.019,1.039
1380.689,230,33,8,-60.402,-1.296,-1.298,0.009,-0.188,0.021,1.007
792.345,210,33,7,-19.374,-0.413,-0.412,0,-0.033,0.007,1.024
957.167,230,28,6,14.558,0.311,0.31,0,0.03,0.009,1.028
1789.659,320,30,9,-6.102,-0.133,-0.132,0,-0.029,0.045,1.068
656.137,210,34,7,-11.18,-0.238,-0.238,0,-0.019,0.006,1.026
613.697,230,49,7,-38.089,-0.817,-0.817,0.004,-0.119,0.021,1.028
313.362,250,40,8,26.626,0.57,0.569,0.001,0.072,0.016,1.03
336.51,60,20,4,-53.645,-1.154,-1.155,0.009,-0.188,0.026,1.02
1544.899,330,42,7,6.438,0.139,0.138,0,0.024,0.029,1.05
68.954,150,35,8,-35.791,-0.767,-0.766,0.003,-0.103,0.018,1.027
785.692,150,8,6,16.462,0.353,0.352,0.001,0.05,0.019,1.038
125.628,180,49,7,-46.659,-1.005,-1.005,0.007,-0.169,0.028,1.028
377.925,80,19,8,-78.139,-1.671,-1.679,0.01,-0.199,0.014,0.977
217.994,180,42,6,-19.841,-0.425,-0.425,0.001,-0.059,0.019,1.037
759.862,130,6,7,-5.697,-0.122,-0.122,0,-0.019,0.023,1.044
1163.444,320,36,6,60.109,1.287,1.289,0.007,0.164,0.016,1.003
842.957,280,32,7,49.697,1.059,1.059,0.002,0.087,0.007,1.004
125.179,200,28,6,55.181,1.179,1.18,0.004,0.127,0.011,1.004
236.598,130,25,8,-36.347,-0.777,-0.776,0.002,-0.089,0.013,1.021
669.811,190,34,8,-43.427,-0.927,-0.926,0.002,-0.091,0.01,1.013
612.234,150,21,6,-12.59,-0.268,-0.268,0,-0.023,0.008,1.027
922.019,230,34,7,-13.749,-0.293,-0.293,0,-0.026,0.008,1.027
50,310,63,7,42.617,0.933,0.932,0.013,0.232,0.058,1.065
2000,340,31,7,14.849,0.323,0.322,0.001,0.071,0.046,1.068
1054.027,240,25,7,15.352,0.328,0.327,0,0.032,0.01,1.028
385.045,180,42,7,-45.108,-0.965,-0.964,0.003,-0.114,0.014,1.015
1507.972,220,37,7,-83.59,-1.797,-1.807,0.02,-0.282,0.024,0.978
102.568,40,25,8,-114.97,-2.461,-2.494,0.024,-0.315,0.016,0.915
204.568,190,26,7,34.091,0.727,0.726,0.001,0.069,0.009,1.019
1170.918,290,39,7,8.286,0.177,0.177,0,0.022,0.015,1.036
689.547,340,46,7,75.575,1.618,1.625,0.011,0.21,0.016,0.983
784.22,250,36,6,22.299,0.476,0.475,0.001,0.049,0.01,1.027
405.913,190,12,4,97.403,2.099,2.118,0.033,0.367,0.029,0.96
179.778,120,2,8,35.927,0.778,0.777,0.006,0.154,0.038,1.048
607.258,230,29,8,18.72,0.399,0.398,0,0.038,0.009,1.027
1542.329,190,33,8,-114.123,-2.456,-2.488,0.04,-0.407,0.026,0.925
1112.47,210,28,7,-29.711,-0.634,-0.633,0.001,-0.065,0.01,1.023
856.985,170,10,6,23.676,0.507,0.506,0.001,0.068,0.018,1.034
836.331,310,38,7,60.055,1.281,1.284,0.004,0.125,0.009,0.996
236.908,90,19,4,-11.823,-0.255,-0.254,0,-0.042,0.027,1.048
1077.855,140,13,6,-35.175,-0.754,-0.753,0.003,-0.104,0.019,1.028
579.321,300,30,7,98.81,2.104,2.123,0.006,0.156,0.005,0.937
1500,340,38,8,22.633,0.487,0.486,0.002,0.079,0.026,1.043
731.364,170,22,8,-28.243,-0.603,-0.602,0.001,-0.064,0.011,1.024
25.689,100,23,6,-19.536,-0.418,-0.417,0.001,-0.049,0.014,1.031
391.749,200,22,9,19.499,0.419,0.418,0.001,0.063,0.022,1.04
233.999,80,20,7,-58.203,-1.242,-1.244,0.004,-0.125,0.01,0.999
275.7,100,18,6,-23.921,-0.511,-0.51,0.001,-0.053,0.011,1.026
56.895,70,37,7,-110.416,-2.364,-2.392,0.022,-0.302,0.016,0.924
255.117,50,16,8,-87.612,-1.877,-1.89,0.016,-0.254,0.018,0.966
566.501,240,32,8,22.077,0.471,0.47,0.001,0.046,0.009,1.026
102.568,160,26,5,34.922,0.748,0.748,0.003,0.101,0.018,1.027
250.568,290,53,9,17.093,0.37,0.37,0.001,0.075,0.04,1.06
68.594,140,28,7,-11.102,-0.237,-0.237,0,-0.026,0.012,1.032
642.786,210,32,7,-3.312,-0.071,-0.07,0,-0.005,0.006,1.026
1500,300,24,7,40.863,0.878,0.877,0.005,0.134,0.023,1.028
102.563,230,37,6,56.794,1.216,1.218,0.006,0.158,0.017,1.007
756.984,280,30,8,52.643,1.123,1.124,0.003,0.108,0.009,1.004
51.229,160,19,7,40.679,0.87,0.87,0.003,0.104,0.014,1.019
644.151,200,47,6,-52.853,-1.135,-1.135,0.007,-0.168,0.021,1.016
15.313,110,22,5,5.798,0.124,0.124,0,0.018,0.02,1.041
243.237,110,10,8,-6.399,-0.138,-0.137,0,-0.022,0.024,1.046
256.894,70,1,4,27.094,0.588,0.587,0.004,0.124,0.042,1.058
22.464,100,1,6,54.821,1.184,1.185,0.012,0.221,0.034,1.026
45.689,190,39,6,14.887,0.319,0.319,0.001,0.045,0.02,1.039
724.938,70,8,5,-47.294,-1.017,-1.017,0.006,-0.158,0.024,1.024
1126.461,360,38,7,85.427,1.827,1.838,0.011,0.215,0.013,0.966
1985.119,360,35,5,44.815,0.981,0.981,0.015,0.244,0.058,1.063
1837.516,300,40,5,-19.493,-0.425,-0.425,0.003,-0.101,0.053,1.074
135.986,120,22,7,-16.618,-0.355,-0.354,0,-0.037,0.011,1.029
237.703,150,27,8,-23.176,-0.495,-0.494,0.001,-0.056,0.013,1.029
976.641,220,31,6,-7.197,-0.154,-0.153,0,-0.016,0.01,1.031
1452.689,280,19,7,41.716,0.897,0.896,0.005,0.14,0.024,1.029
1600,300,24,9,10.202,0.221,0.22,0,0.044,0.039,1.061
268.598,140,1,7,62.841,1.356,1.359,0.015,0.245,0.031,1.015
900.889,290,38,8,23.488,0.502,0.501,0.001,0.056,0.012,1.028
982.063,180,26,6,-30.82,-0.658,-0.657,0.001,-0.065,0.01,1.022
201.356,140,11,6,45.961,0.985,0.984,0.004,0.13,0.017,1.018
746.024,210,34,6,-7.724,-0.165,-0.164,0,-0.016,0.009,1.029
1132.877,250,55,7,-82.364,-1.78,-1.79,0.028,-0.337,0.034,0.99
1000,250,5,7,97.287,2.095,2.114,0.031,0.357,0.028,0.959
75.896,120,34,6,-40.84,-0.874,-0.873,0.003,-0.108,0.015,1.02
1351.254,290,37,9,-22.46,-0.484,-0.483,0.002,-0.082,0.028,1.045
202.705,60,13,8,-63.061,-1.354,-1.357,0.01,-0.201,0.022,1.005
365.985,140,23,6,-8.422,-0.18,-0.179,0,-0.016,0.008,1.028
305.268,290,54,6,42.341,0.916,0.916,0.008,0.178,0.036,1.041
263.268,160,18,7,26.048,0.556,0.555,0.001,0.058,0.011,1.025
513.694,100,2,7,-1.331,-0.029,-0.029,0,-0.005,0.028,1.05
152.609,160,11,6,70.099,1.502,1.507,0.01,0.203,0.018,0.992
35.987,150,30,8,-16.155,-0.346,-0.345,0.001,-0.046,0.017,1.036
102.568,140,22,7,6.219,0.133,0.133,0,0.014,0.012,1.032
215.368,230,36,6,50.586,1.082,1.082,0.004,0.126,0.013,1.01
426.784,230,37,8,7.1,0.152,0.151,0,0.017,0.012,1.033
507.772,30,9,3,-50.055,-1.089,-1.089,0.015,-0.242,0.047,1.045
